target position:  -12.00,   2.00
swimmer initial position:  -14.00,  -3.00,   0.00
 -14.00,  -3.00,   0.00
 -14.02,  -3.00,   0.10
 -14.05,  -2.99,   0.18
 -14.07,  -2.98,   0.26
 -14.10,  -2.96,   0.33
 -14.13,  -2.93,   0.39
 -14.16,  -2.90,   0.46
 -14.19,  -2.87,   0.53
 -14.23,  -2.83,   0.58
 -14.26,  -2.79,   0.63
 -14.30,  -2.75,   0.67
 -14.34,  -2.70,   0.70
 -14.38,  -2.66,   0.73
 -14.42,  -2.61,   0.75
 -14.46,  -2.56,   0.76
 -14.50,  -2.51,   0.78
 -14.54,  -2.46,   0.79
 -14.58,  -2.41,   0.79
 -14.62,  -2.36,   0.80
 -14.66,  -2.31,   0.80
 -14.70,  -2.26,   0.80
 -14.74,  -2.20,   0.79
 -14.78,  -2.15,   0.79
 -14.82,  -2.10,   0.78
 -14.85,  -2.05,   0.77
 -14.89,  -2.00,   0.76
 -14.92,  -1.95,   0.75
 -14.95,  -1.90,   0.73
 -14.98,  -1.84,   0.72
 -15.01,  -1.79,   0.70
 -15.03,  -1.74,   0.68
 -15.06,  -1.69,   0.67
 -15.08,  -1.63,   0.65
 -15.10,  -1.58,   0.65
 -15.12,  -1.52,   0.64
 -15.14,  -1.46,   0.65
 -15.16,  -1.40,   0.66
 -15.19,  -1.33,   0.66
 -15.21,  -1.26,   0.67
 -15.23,  -1.19,   0.67
 -15.25,  -1.11,   0.67
 -15.28,  -1.03,   0.67
 -15.30,  -0.95,   0.67
 -15.32,  -0.86,   0.66
 -15.35,  -0.77,   0.65
 -15.37,  -0.67,   0.63
 -15.40,  -0.57,   0.62
 -15.42,  -0.46,   0.59
 -15.44,  -0.35,   0.57
 -15.46,  -0.24,   0.54
 -15.47,  -0.13,   0.52
 -15.47,  -0.02,   0.49
 -15.47,   0.08,   0.44
 -15.46,   0.17,   0.38
 -15.44,   0.25,   0.32
 -15.41,   0.30,   0.28
 -15.38,   0.33,   0.28
 -15.35,   0.35,   0.29
 -15.32,   0.35,   0.32
 -15.30,   0.34,   0.33
 -15.28,   0.32,   0.35
 -15.27,   0.30,   0.37
 -15.26,   0.27,   0.40
 -15.25,   0.23,   0.41
 -15.25,   0.20,   0.42
 -15.25,   0.16,   0.41
 -15.26,   0.12,   0.40
 -15.26,   0.08,   0.36
 -15.26,   0.04,   0.32
 -15.26,  -0.01,   0.28
 -15.26,  -0.06,   0.24
 -15.25,  -0.11,   0.21
 -15.23,  -0.16,   0.18
 -15.21,  -0.20,   0.16
 -15.19,  -0.23,   0.14
 -15.16,  -0.25,   0.11
 -15.13,  -0.25,   0.06
 -15.10,  -0.23,   0.01
 -15.07,  -0.21,  -0.05
 -15.04,  -0.17,  -0.11
 -15.02,  -0.12,  -0.15
 -15.01,  -0.06,  -0.13
 -15.00,   0.00,  -0.07
 -15.00,   0.07,  -0.01
 -15.00,   0.14,   0.05
 -15.00,   0.22,   0.09
 -15.00,   0.30,   0.12
 -15.00,   0.37,   0.13
 -14.99,   0.45,   0.12
 -14.99,   0.51,   0.09
 -14.98,   0.57,   0.03
 -14.97,   0.61,  -0.04
 -14.95,   0.64,  -0.13
 -14.93,   0.66,  -0.24
 -14.91,   0.66,  -0.35
 -14.90,   0.64,  -0.45
 -14.88,   0.60,  -0.53
 -14.86,   0.55,  -0.58
 -14.84,   0.48,  -0.55
 -14.83,   0.41,  -0.45
 -14.81,   0.33,  -0.35
 -14.80,   0.25,  -0.24
 -14.79,   0.17,  -0.14
 -14.78,   0.09,  -0.04
 -14.77,   0.02,   0.04
 -14.77,  -0.05,   0.09
 -14.77,  -0.11,   0.10
 -14.76,  -0.18,   0.09
 -14.76,  -0.24,   0.08
 -14.75,  -0.30,   0.07
 -14.74,  -0.35,   0.07
 -14.73,  -0.40,   0.08
 -14.71,  -0.44,   0.08
 -14.68,  -0.47,   0.08
 -14.65,  -0.49,   0.09
 -14.62,  -0.49,   0.11
 -14.59,  -0.47,   0.14
 -14.56,  -0.44,   0.15
 -14.53,  -0.39,   0.14
 -14.51,  -0.33,   0.11
 -14.49,  -0.27,   0.05
 -14.48,  -0.20,   0.02
 -14.47,  -0.13,   0.05
 -14.47,  -0.06,   0.10
 -14.47,   0.02,   0.15
 -14.47,   0.11,   0.20
 -14.47,   0.20,   0.23
 -14.47,   0.28,   0.23
 -14.46,   0.36,   0.20
 -14.45,   0.43,   0.13
 -14.44,   0.49,   0.05
 -14.42,   0.53,  -0.05
 -14.40,   0.56,  -0.17
 -14.38,   0.57,  -0.30
 -14.35,   0.55,  -0.41
 -14.33,   0.52,  -0.49
 -14.31,   0.47,  -0.52
 -14.29,   0.40,  -0.45
 -14.27,   0.33,  -0.35
 -14.25,   0.25,  -0.24
 -14.24,   0.17,  -0.12
 -14.23,   0.10,  -0.02
 -14.22,   0.03,   0.07
 -14.22,  -0.04,   0.13
 -14.22,  -0.10,   0.15
 -14.22,  -0.16,   0.15
 -14.22,  -0.22,   0.13
 -14.21,  -0.28,   0.11
 -14.20,  -0.33,   0.11
 -14.19,  -0.38,   0.11
 -14.18,  -0.43,   0.11
 -14.16,  -0.46,   0.10
 -14.13,  -0.49,   0.09
 -14.10,  -0.51,   0.09
 -14.07,  -0.51,   0.11
 -14.04,  -0.49,   0.15
 -14.01,  -0.45,   0.16
 -13.99,  -0.40,   0.15
 -13.97,  -0.35,   0.11
 -13.95,  -0.28,   0.05
 -13.94,  -0.21,   0.04
 -13.93,  -0.14,   0.07
 -13.93,  -0.06,   0.13
 -13.93,   0.02,   0.19
 -13.93,   0.11,   0.24
 -13.93,   0.20,   0.26
 -13.93,   0.29,   0.24
 -13.92,   0.37,   0.20
 -13.92,   0.44,   0.13
 -13.90,   0.50,   0.04
 -13.89,   0.54,  -0.07
 -13.87,   0.57,  -0.20
 -13.84,   0.57,  -0.32
 -13.82,   0.56,  -0.42
 -13.79,   0.52,  -0.49
 -13.77,   0.47,  -0.51
 -13.75,   0.40,  -0.43
 -13.73,   0.33,  -0.35
 -13.71,   0.25,  -0.25
 -13.70,   0.17,  -0.14
 -13.69,   0.10,  -0.03
 -13.69,   0.03,   0.06
 -13.68,  -0.04,   0.11
 -13.68,  -0.11,   0.12
 -13.68,  -0.17,   0.11
 -13.68,  -0.23,   0.09
 -13.68,  -0.29,   0.09
 -13.67,  -0.35,   0.09
 -13.66,  -0.40,   0.10
 -13.65,  -0.44,   0.11
 -13.63,  -0.48,   0.11
 -13.61,  -0.51,   0.10
