target position:   -9.00,   2.25
swimmer initial position:  -12.00,  -2.25,   0.00
 -12.00,  -2.25,   0.00, time =    1.70
 -12.02,  -2.24,   0.11, time =    1.80
 -12.05,  -2.22,   0.21, time =    1.90
 -12.08,  -2.19,   0.29, time =    2.00
 -12.11,  -2.16,   0.38, time =    2.10
 -12.14,  -2.12,   0.46, time =    2.20
 -12.18,  -2.07,   0.55, time =    2.30
 -12.23,  -2.02,   0.64, time =    2.40
 -12.27,  -1.96,   0.74, time =    2.50
 -12.33,  -1.90,   0.84, time =    2.60
 -12.39,  -1.83,   0.92, time =    2.70
 -12.45,  -1.76,   0.99, time =    2.80
 -12.52,  -1.69,   1.05, time =    2.90
 -12.60,  -1.61,   1.10, time =    3.00
 -12.68,  -1.53,   1.14, time =    3.10
 -12.77,  -1.45,   1.19, time =    3.20
 -12.86,  -1.36,   1.23, time =    3.30
 -12.96,  -1.28,   1.27, time =    3.40
 -13.07,  -1.18,   1.32, time =    3.50
 -13.18,  -1.08,   1.37, time =    3.60
 -13.30,  -0.98,   1.42, time =    3.70
 -13.41,  -0.87,   1.45, time =    3.80
 -13.53,  -0.75,   1.46, time =    3.90
 -13.64,  -0.62,   1.43, time =    4.00
 -13.74,  -0.48,   1.36, time =    4.10
 -13.83,  -0.34,   1.23, time =    4.20
 -13.88,  -0.20,   1.06, time =    4.30
 -13.92,  -0.07,   0.88, time =    4.40
 -13.93,   0.04,   0.73, time =    4.50
 -13.93,   0.13,   0.66, time =    4.60
 -13.91,   0.19,   0.59, time =    4.70
 -13.89,   0.23,   0.47, time =    4.80
 -13.87,   0.25,   0.37, time =    4.90
 -13.84,   0.23,   0.23, time =    5.00
 -13.82,   0.20,   0.22, time =    5.10
 -13.81,   0.16,   0.27, time =    5.20
 -13.80,   0.11,   0.35, time =    5.30
 -13.80,   0.07,   0.44, time =    5.40
 -13.80,   0.04,   0.52, time =    5.50
 -13.81,   0.01,   0.59, time =    5.60
 -13.82,  -0.02,   0.65, time =    5.70
 -13.84,  -0.04,   0.70, time =    5.80
