target position:  -12.00,   2.00
swimmer initial position:  -14.00,  -3.00,   0.00
 -14.00,  -3.00,   0.00
 -14.02,  -3.00,   0.11
 -14.04,  -2.98,   0.21
 -14.06,  -2.96,   0.30
 -14.09,  -2.94,   0.38
 -14.11,  -2.91,   0.45
 -14.14,  -2.87,   0.51
 -14.17,  -2.83,   0.56
 -14.20,  -2.78,   0.61
 -14.24,  -2.73,   0.66
 -14.28,  -2.68,   0.70
 -14.32,  -2.62,   0.74
 -14.36,  -2.57,   0.78
 -14.40,  -2.51,   0.82
 -14.45,  -2.44,   0.86
 -14.50,  -2.38,   0.89
 -14.55,  -2.31,   0.92
 -14.60,  -2.24,   0.94
 -14.65,  -2.16,   0.97
 -14.71,  -2.09,   0.99
 -14.77,  -2.01,   1.01
 -14.83,  -1.93,   1.02
 -14.89,  -1.85,   1.04
 -14.95,  -1.77,   1.05
 -15.01,  -1.68,   1.06
 -15.08,  -1.60,   1.06
 -15.14,  -1.51,   1.07
 -15.21,  -1.42,   1.07
 -15.27,  -1.32,   1.07
 -15.34,  -1.23,   1.07
 -15.40,  -1.13,   1.07
 -15.47,  -1.02,   1.06
 -15.53,  -0.91,   1.04
 -15.60,  -0.79,   1.02
 -15.66,  -0.67,   1.00
 -15.71,  -0.55,   0.96
 -15.76,  -0.42,   0.92
 -15.80,  -0.29,   0.86
 -15.83,  -0.16,   0.79
 -15.84,  -0.04,   0.72
 -15.84,   0.07,   0.65
 -15.84,   0.17,   0.57
 -15.82,   0.24,   0.50
 -15.80,   0.29,   0.42
 -15.77,   0.32,   0.33
 -15.74,   0.32,   0.26
 -15.71,   0.31,   0.22
 -15.69,   0.28,   0.18
 -15.67,   0.24,   0.14
 -15.66,   0.18,   0.10
 -15.64,   0.12,   0.06
 -15.64,   0.06,   0.02
 -15.63,  -0.02,  -0.03
 -15.63,  -0.09,  -0.07
 -15.62,  -0.17,  -0.11
 -15.62,  -0.25,  -0.13
 -15.61,  -0.32,  -0.15
 -15.60,  -0.39,  -0.15
 -15.59,  -0.46,  -0.14
 -15.57,  -0.51,  -0.11
 -15.54,  -0.55,  -0.07
 -15.52,  -0.58,  -0.01
 -15.49,  -0.59,   0.05
 -15.46,  -0.58,   0.10
 -15.44,  -0.56,   0.13
 -15.41,  -0.52,   0.13
 -15.39,  -0.48,   0.11
 -15.37,  -0.42,   0.08
 -15.36,  -0.36,   0.06
 -15.35,  -0.29,   0.04
 -15.34,  -0.23,   0.04
 -15.33,  -0.16,   0.05
 -15.33,  -0.08,   0.06
 -15.33,  -0.01,   0.07
 -15.32,   0.07,   0.08
 -15.32,   0.14,   0.08
 -15.31,   0.22,   0.07
 -15.29,   0.28,   0.04
 -15.27,   0.34,   0.01
 -15.25,   0.38,  -0.01
 -15.22,   0.41,  -0.02
 -15.19,   0.42,  -0.03
 -15.16,   0.42,  -0.04
 -15.12,   0.40,  -0.06
 -15.10,   0.36,  -0.08
 -15.07,   0.31,  -0.09
 -15.05,   0.24,  -0.11
 -15.04,   0.17,  -0.12
 -15.03,   0.09,  -0.13
 -15.02,   0.01,  -0.14
 -15.02,  -0.07,  -0.15
 -15.02,  -0.16,  -0.16
 -15.02,  -0.24,  -0.17
 -15.01,  -0.32,  -0.17
 -15.01,  -0.40,  -0.17
 -15.00,  -0.47,  -0.15
 -14.99,  -0.53,  -0.13
 -14.97,  -0.58,  -0.10
 -14.96,  -0.62,  -0.05
 -14.93,  -0.65,   0.01
 -14.91,  -0.66,   0.08
 -14.88,  -0.65,   0.13
 -14.86,  -0.63,   0.17
 -14.83,  -0.60,   0.19
 -14.81,  -0.55,   0.18
 -14.79,  -0.49,   0.16
 -14.78,  -0.43,   0.13
 -14.77,  -0.37,   0.12
 -14.76,  -0.29,   0.11
 -14.76,  -0.22,   0.11
 -14.75,  -0.14,   0.12
 -14.75,  -0.06,   0.14
 -14.75,   0.02,   0.15
 -14.75,   0.10,   0.15
 -14.74,   0.18,   0.14
 -14.73,   0.25,   0.11
 -14.72,   0.32,   0.07
 -14.69,   0.37,   0.04
 -14.67,   0.41,   0.00
 -14.64,   0.44,  -0.02
 -14.61,   0.44,  -0.05
 -14.57,   0.43,  -0.07
 -14.54,   0.40,  -0.09
 -14.51,   0.36,  -0.10
 -14.49,   0.30,  -0.11
 -14.48,   0.23,  -0.11
 -14.46,   0.15,  -0.12
 -14.46,   0.07,  -0.13
 -14.45,  -0.01,  -0.14
 -14.45,  -0.09,  -0.15
 -14.45,  -0.18,  -0.15
 -14.45,  -0.26,  -0.16
 -14.45,  -0.34,  -0.15
 -14.44,  -0.41,  -0.15
 -14.43,  -0.48,  -0.14
 -14.42,  -0.54,  -0.12
 -14.40,  -0.59,  -0.08
 -14.38,  -0.62,  -0.03
 -14.36,  -0.65,   0.03
 -14.33,  -0.65,   0.09
 -14.31,  -0.64,   0.15
 -14.28,  -0.61,   0.18
 -14.26,  -0.57,   0.19
 -14.24,  -0.52,   0.17
 -14.22,  -0.46,   0.15
 -14.21,  -0.40,   0.14
 -14.20,  -0.33,   0.13
 -14.19,  -0.25,   0.14
 -14.19,  -0.17,   0.15
 -14.19,  -0.09,   0.17
 -14.19,  -0.01,   0.18
 -14.19,   0.08,   0.19
 -14.19,   0.16,   0.19
 -14.18,   0.25,   0.17
 -14.17,   0.32,   0.14
 -14.15,   0.38,   0.10
 -14.13,   0.44,   0.06
 -14.11,   0.47,   0.02
 -14.07,   0.49,  -0.03
 -14.04,   0.49,  -0.07
 -14.01,   0.48,  -0.09
 -13.98,   0.44,  -0.09
 -13.96,   0.40,  -0.10
 -13.93,   0.34,  -0.11
 -13.92,   0.27,  -0.12
 -13.91,   0.19,  -0.12
 -13.90,   0.11,  -0.13
 -13.90,   0.03,  -0.14
 -13.90,  -0.05,  -0.14
 -13.90,  -0.14,  -0.15
 -13.90,  -0.22,  -0.15
 -13.89,  -0.30,  -0.15
 -13.89,  -0.37,  -0.14
 -13.88,  -0.44,  -0.13
 -13.86,  -0.50,  -0.11
 -13.85,  -0.55,  -0.09
 -13.82,  -0.59,  -0.06
 -13.80,  -0.61,  -0.00
 -13.77,  -0.62,   0.06
 -13.74,  -0.61,   0.12
 -13.71,  -0.58,   0.15
 -13.69,  -0.53,   0.15
 -13.67,  -0.48,   0.14
 -13.65,  -0.42,   0.14
 -13.64,  -0.35,   0.14
 -13.63,  -0.28,   0.15
 -13.63,  -0.20,   0.17
 -13.63,  -0.11,   0.19
 -13.63,  -0.03,   0.21
