target position:   -9.00,   2.25
swimmer initial position:  -12.00,  -2.25,   0.00
 -12.00,  -2.25,   0.00, time =    3.84
 -12.02,  -2.25,   0.09, time =    3.94
 -12.04,  -2.25,   0.17, time =    4.04
 -12.06,  -2.24,   0.23, time =    4.14
 -12.08,  -2.23,   0.29, time =    4.24
 -12.10,  -2.21,   0.35, time =    4.34
 -12.12,  -2.19,   0.40, time =    4.44
 -12.14,  -2.16,   0.44, time =    4.54
 -12.16,  -2.13,   0.49, time =    4.64
 -12.18,  -2.10,   0.53, time =    4.74
 -12.21,  -2.06,   0.56, time =    4.84
 -12.23,  -2.02,   0.60, time =    4.94
 -12.25,  -1.97,   0.63, time =    5.04
 -12.28,  -1.93,   0.65, time =    5.14
 -12.31,  -1.88,   0.67, time =    5.24
 -12.33,  -1.82,   0.69, time =    5.34
 -12.36,  -1.77,   0.71, time =    5.44
 -12.39,  -1.71,   0.72, time =    5.54
 -12.41,  -1.65,   0.73, time =    5.64
 -12.44,  -1.59,   0.74, time =    5.74
 -12.47,  -1.52,   0.75, time =    5.84
 -12.50,  -1.46,   0.75, time =    5.94
 -12.52,  -1.38,   0.75, time =    6.04
 -12.55,  -1.31,   0.76, time =    6.14
 -12.58,  -1.23,   0.76, time =    6.24
 -12.61,  -1.15,   0.76, time =    6.34
 -12.64,  -1.07,   0.76, time =    6.44
 -12.67,  -0.98,   0.76, time =    6.54
 -12.70,  -0.88,   0.76, time =    6.64
 -12.73,  -0.78,   0.77, time =    6.74
 -12.76,  -0.68,   0.78, time =    6.84
 -12.79,  -0.56,   0.79, time =    6.94
 -12.83,  -0.45,   0.82, time =    7.04
 -12.86,  -0.32,   0.86, time =    7.14
 -12.90,  -0.19,   0.86, time =    7.24
 -12.93,  -0.06,   0.77, time =    7.34
 -12.95,   0.07,   0.66, time =    7.44
 -12.95,   0.18,   0.56, time =    7.54
 -12.95,   0.28,   0.47, time =    7.64
 -12.94,   0.37,   0.38, time =    7.74
 -12.92,   0.44,   0.26, time =    7.84
 -12.89,   0.48,   0.15, time =    7.94
 -12.86,   0.51,   0.09, time =    8.04
 -12.82,   0.51,   0.03, time =    8.14
 -12.79,   0.49,   0.01, time =    8.24
 -12.76,   0.46,   0.03, time =    8.34
 -12.74,   0.42,   0.01, time =    8.44
 -12.72,   0.36,  -0.03, time =    8.54
 -12.71,   0.30,  -0.04, time =    8.64
 -12.70,   0.23,  -0.02, time =    8.74
 -12.69,   0.16,   0.01, time =    8.84
 -12.69,   0.09,   0.04, time =    8.94
 -12.69,   0.02,   0.05, time =    9.04
 -12.69,  -0.05,   0.02, time =    9.14
 -12.69,  -0.12,  -0.02, time =    9.24
 -12.69,  -0.19,  -0.05, time =    9.34
 -12.68,  -0.27,  -0.04, time =    9.44
 -12.67,  -0.33,  -0.02, time =    9.54
 -12.65,  -0.38,   0.01, time =    9.64
 -12.63,  -0.43,   0.02, time =    9.74
 -12.60,  -0.46,   0.02, time =    9.84
 -12.56,  -0.47,   0.06, time =    9.94
 -12.53,  -0.46,   0.08, time =   10.04
 -12.50,  -0.44,   0.10, time =   10.14
 -12.47,  -0.40,   0.10, time =   10.24
 -12.44,  -0.34,   0.10, time =   10.34
 -12.43,  -0.28,   0.08, time =   10.44
 -12.41,  -0.21,   0.02, time =   10.54
 -12.41,  -0.14,  -0.06, time =   10.64
 -12.40,  -0.08,  -0.16, time =   10.74
 -12.40,  -0.02,  -0.26, time =   10.84
 -12.41,   0.03,  -0.32, time =   10.94
 -12.41,   0.08,  -0.32, time =   11.04
 -12.42,   0.12,  -0.28, time =   11.14
 -12.42,   0.17,  -0.22, time =   11.24
 -12.41,   0.23,  -0.14, time =   11.34
 -12.40,   0.28,  -0.10, time =   11.44
 -12.39,   0.34,  -0.08, time =   11.54
 -12.37,   0.38,  -0.08, time =   11.64
 -12.34,   0.42,  -0.09, time =   11.74
 -12.31,   0.44,  -0.09, time =   11.84
 -12.28,   0.44,  -0.10, time =   11.94
 -12.24,   0.42,  -0.12, time =   12.04
 -12.21,   0.38,  -0.10, time =   12.14
 -12.18,   0.34,  -0.03, time =   12.24
 -12.16,   0.28,   0.01, time =   12.34
 -12.14,   0.22,   0.05, time =   12.44
 -12.13,   0.16,   0.11, time =   12.54
 -12.13,   0.10,   0.19, time =   12.64
 -12.13,   0.04,   0.26, time =   12.74
 -12.13,  -0.01,   0.29, time =   12.84
 -12.14,  -0.07,   0.26, time =   12.94
 -12.14,  -0.12,   0.22, time =   13.04
 -12.14,  -0.18,   0.16, time =   13.14
 -12.14,  -0.23,   0.11, time =   13.24
 -12.13,  -0.29,   0.10, time =   13.34
 -12.12,  -0.34,   0.13, time =   13.44
 -12.10,  -0.39,   0.17, time =   13.54
 -12.07,  -0.42,   0.21, time =   13.64
 -12.05,  -0.43,   0.23, time =   13.74
 -12.01,  -0.43,   0.23, time =   13.84
 -11.98,  -0.41,   0.25, time =   13.94
 -11.95,  -0.37,   0.25, time =   14.04
 -11.92,  -0.31,   0.23, time =   14.14
 -11.90,  -0.24,   0.18, time =   14.24
 -11.88,  -0.17,   0.09, time =   14.34
 -11.87,  -0.09,  -0.01, time =   14.44
 -11.87,  -0.03,  -0.11, time =   14.54
 -11.87,   0.04,  -0.24, time =   14.64
 -11.87,   0.09,  -0.36, time =   14.74
 -11.88,   0.13,  -0.38, time =   14.84
 -11.89,   0.18,  -0.34, time =   14.94
 -11.89,   0.22,  -0.26, time =   15.04
 -11.89,   0.27,  -0.18, time =   15.14
 -11.89,   0.33,  -0.12, time =   15.24
 -11.88,   0.38,  -0.09, time =   15.34
 -11.86,   0.43,  -0.08, time =   15.44
 -11.84,   0.47,  -0.09, time =   15.54
 -11.82,   0.51,  -0.10, time =   15.64
 -11.79,   0.52,  -0.13, time =   15.74
 -11.76,   0.52,  -0.16, time =   15.84
 -11.72,   0.51,  -0.16, time =   15.94
 -11.69,   0.47,  -0.14, time =   16.04
 -11.66,   0.43,  -0.07, time =   16.14
 -11.64,   0.37,  -0.08, time =   16.24
 -11.62,   0.30,  -0.12, time =   16.34
