target position:   -9.00,   2.25
swimmer initial position:  -12.00,  -2.25,   0.00
 -12.00,  -2.25,   0.00, time =    2.95
 -12.03,  -2.25,   0.11, time =    3.05
 -12.06,  -2.24,   0.21, time =    3.15
 -12.08,  -2.23,   0.30, time =    3.25
 -12.11,  -2.21,   0.38, time =    3.35
 -12.15,  -2.18,   0.44, time =    3.45
 -12.18,  -2.16,   0.49, time =    3.55
 -12.21,  -2.13,   0.53, time =    3.65
 -12.25,  -2.09,   0.57, time =    3.75
 -12.29,  -2.06,   0.59, time =    3.85
 -12.32,  -2.03,   0.60, time =    3.95
 -12.36,  -1.99,   0.61, time =    4.05
 -12.39,  -1.96,   0.62, time =    4.15
 -12.43,  -1.93,   0.62, time =    4.25
 -12.46,  -1.90,   0.62, time =    4.35
 -12.49,  -1.86,   0.62, time =    4.45
 -12.52,  -1.83,   0.61, time =    4.55
 -12.55,  -1.80,   0.61, time =    4.65
 -12.58,  -1.77,   0.61, time =    4.75
 -12.61,  -1.74,   0.61, time =    4.85
 -12.64,  -1.70,   0.61, time =    4.95
 -12.66,  -1.67,   0.62, time =    5.05
 -12.68,  -1.63,   0.62, time =    5.15
 -12.71,  -1.60,   0.63, time =    5.25
 -12.73,  -1.56,   0.63, time =    5.35
 -12.75,  -1.52,   0.64, time =    5.45
 -12.77,  -1.48,   0.65, time =    5.55
 -12.79,  -1.43,   0.67, time =    5.65
 -12.80,  -1.38,   0.68, time =    5.75
 -12.82,  -1.33,   0.69, time =    5.85
 -12.84,  -1.27,   0.71, time =    5.95
 -12.85,  -1.21,   0.72, time =    6.05
 -12.87,  -1.15,   0.73, time =    6.15
 -12.88,  -1.07,   0.74, time =    6.25
 -12.90,  -1.00,   0.74, time =    6.35
 -12.91,  -0.92,   0.73, time =    6.45
 -12.93,  -0.83,   0.71, time =    6.55
 -12.94,  -0.74,   0.68, time =    6.65
 -12.95,  -0.64,   0.65, time =    6.75
 -12.97,  -0.55,   0.61, time =    6.85
 -12.98,  -0.44,   0.58, time =    6.95
 -12.99,  -0.34,   0.55, time =    7.05
 -13.01,  -0.23,   0.52, time =    7.15
 -13.02,  -0.12,   0.49, time =    7.25
 -13.03,  -0.01,   0.47, time =    7.35
 -13.04,   0.09,   0.43, time =    7.45
 -13.04,   0.19,   0.39, time =    7.55
 -13.03,   0.29,   0.33, time =    7.65
 -13.02,   0.37,   0.27, time =    7.75
 -13.00,   0.44,   0.21, time =    7.85
 -12.98,   0.49,   0.15, time =    7.95
 -12.95,   0.52,   0.12, time =    8.05
 -12.92,   0.54,   0.10, time =    8.15
 -12.88,   0.54,   0.08, time =    8.25
 -12.85,   0.53,   0.06, time =    8.35
 -12.83,   0.49,   0.03, time =    8.45
 -12.81,   0.45,   0.00, time =    8.55
 -12.79,   0.40,  -0.03, time =    8.65
 -12.78,   0.33,  -0.06, time =    8.75
 -12.77,   0.26,  -0.10, time =    8.85
 -12.77,   0.18,  -0.13, time =    8.95
 -12.77,   0.10,  -0.16, time =    9.05
 -12.77,   0.01,  -0.17, time =    9.15
 -12.77,  -0.08,  -0.19, time =    9.25
 -12.77,  -0.16,  -0.19, time =    9.35
 -12.77,  -0.25,  -0.20, time =    9.45
 -12.76,  -0.33,  -0.19, time =    9.55
 -12.75,  -0.40,  -0.17, time =    9.65
 -12.73,  -0.46,  -0.13, time =    9.75
 -12.70,  -0.51,  -0.09, time =    9.85
 -12.68,  -0.54,  -0.04, time =    9.95
 -12.65,  -0.55,   0.02, time =   10.05
 -12.61,  -0.55,   0.06, time =   10.15
 -12.58,  -0.53,   0.08, time =   10.25
 -12.56,  -0.49,   0.08, time =   10.35
 -12.53,  -0.44,   0.05, time =   10.45
 -12.51,  -0.38,   0.02, time =   10.55
 -12.50,  -0.32,   0.00, time =   10.65
 -12.49,  -0.26,  -0.00, time =   10.75
 -12.49,  -0.19,   0.00, time =   10.85
 -12.49,  -0.12,   0.02, time =   10.95
 -12.49,  -0.05,   0.04, time =   11.05
 -12.49,   0.03,   0.07, time =   11.15
 -12.49,   0.11,   0.09, time =   11.25
 -12.49,   0.19,   0.10, time =   11.35
 -12.48,   0.26,   0.10, time =   11.45
 -12.47,   0.33,   0.08, time =   11.55
 -12.45,   0.39,   0.05, time =   11.65
 -12.43,   0.44,   0.02, time =   11.75
 -12.40,   0.48,   0.00, time =   11.85
 -12.37,   0.50,  -0.00, time =   11.95
 -12.34,   0.50,  -0.00, time =   12.05
 -12.30,   0.49,  -0.01, time =   12.15
 -12.27,   0.46,  -0.03, time =   12.25
 -12.25,   0.42,  -0.05, time =   12.35
 -12.23,   0.36,  -0.07, time =   12.45
 -12.21,   0.29,  -0.09, time =   12.55
 -12.20,   0.22,  -0.11, time =   12.65
 -12.20,   0.14,  -0.13, time =   12.75
 -12.20,   0.05,  -0.15, time =   12.85
 -12.20,  -0.04,  -0.16, time =   12.95
 -12.20,  -0.12,  -0.17, time =   13.05
 -12.20,  -0.21,  -0.18, time =   13.15
 -12.20,  -0.29,  -0.18, time =   13.25
 -12.19,  -0.37,  -0.17, time =   13.35
 -12.19,  -0.44,  -0.15, time =   13.45
 -12.17,  -0.50,  -0.12, time =   13.55
 -12.15,  -0.55,  -0.08, time =   13.65
 -12.13,  -0.59,  -0.02, time =   13.75
 -12.10,  -0.61,   0.03, time =   13.85
 -12.07,  -0.61,   0.09, time =   13.95
 -12.04,  -0.60,   0.13, time =   14.05
 -12.01,  -0.57,   0.15, time =   14.15
 -11.99,  -0.53,   0.15, time =   14.25
 -11.97,  -0.47,   0.12, time =   14.35
 -11.95,  -0.41,   0.09, time =   14.45
 -11.94,  -0.35,   0.07, time =   14.55
 -11.93,  -0.28,   0.07, time =   14.65
 -11.93,  -0.20,   0.08, time =   14.75
 -11.93,  -0.12,   0.09, time =   14.85
 -11.93,  -0.04,   0.12, time =   14.95
 -11.93,   0.04,   0.14, time =   15.05
 -11.93,   0.12,   0.16, time =   15.15
 -11.93,   0.21,   0.17, time =   15.25
 -11.93,   0.29,   0.16, time =   15.35
 -11.92,   0.36,   0.13, time =   15.45
 -11.90,   0.42,   0.09, time =   15.55
 -11.88,   0.47,   0.04, time =   15.65
 -11.85,   0.51,   0.01, time =   15.75
 -11.81,   0.53,  -0.01, time =   15.85
 -11.78,   0.53,  -0.03, time =   15.95
 -11.75,   0.51,  -0.05, time =   16.05
 -11.72,   0.48,  -0.07, time =   16.15
 -11.69,   0.43,  -0.09, time =   16.25
 -11.67,   0.37,  -0.10, time =   16.35
 -11.66,   0.30,  -0.11, time =   16.45
 -11.65,   0.22,  -0.12, time =   16.55
 -11.65,   0.14,  -0.13, time =   16.65
 -11.64,   0.06,  -0.14, time =   16.75
 -11.65,  -0.03,  -0.15, time =   16.85
 -11.65,  -0.12,  -0.16, time =   16.95
 -11.65,  -0.20,  -0.17, time =   17.05
 -11.65,  -0.28,  -0.16, time =   17.15
 -11.64,  -0.36,  -0.16, time =   17.25
 -11.63,  -0.43,  -0.14, time =   17.35
 -11.62,  -0.49,  -0.11, time =   17.45
 -11.60,  -0.55,  -0.07, time =   17.55
 -11.58,  -0.58,  -0.02, time =   17.65
 -11.55,  -0.60,   0.04, time =   17.75
 -11.52,  -0.61,   0.09, time =   17.85
 -11.49,  -0.59,   0.14, time =   17.95
 -11.46,  -0.56,   0.16, time =   18.05
 -11.43,  -0.51,   0.16, time =   18.15
 -11.41,  -0.46,   0.13, time =   18.25
 -11.39,  -0.39,   0.11, time =   18.35
 -11.38,  -0.32,   0.10, time =   18.45
 -11.38,  -0.25,   0.11, time =   18.55
 -11.38,  -0.17,   0.12, time =   18.65
 -11.38,  -0.09,   0.14, time =   18.75
 -11.38,  -0.00,   0.17, time =   18.85
 -11.38,   0.09,   0.20, time =   18.95
 -11.38,   0.17,   0.21, time =   19.05
 -11.38,   0.26,   0.21, time =   19.15
 -11.38,   0.34,   0.19, time =   19.25
 -11.37,   0.42,   0.16, time =   19.35
 -11.35,   0.48,   0.11, time =   19.45
 -11.32,   0.53,   0.06, time =   19.55
 -11.30,   0.56,   0.02, time =   19.65
 -11.27,   0.58,  -0.02, time =   19.75
 -11.23,   0.58,  -0.06, time =   19.85
 -11.20,   0.56,  -0.08, time =   19.95
 -11.17,   0.53,  -0.09, time =   20.05
 -11.14,   0.48,  -0.10, time =   20.15
 -11.12,   0.42,  -0.11, time =   20.25
 -11.11,   0.35,  -0.11, time =   20.35
 -11.10,   0.27,  -0.12, time =   20.45
 -11.10,   0.20,  -0.13, time =   20.55
 -11.10,   0.11,  -0.14, time =   20.65
 -11.10,   0.03,  -0.15, time =   20.75
 -11.10,  -0.06,  -0.15, time =   20.85
 -11.10,  -0.14,  -0.16, time =   20.95
 -11.10,  -0.23,  -0.16, time =   21.05
 -11.10,  -0.31,  -0.15, time =   21.15
 -11.09,  -0.38,  -0.14, time =   21.25
 -11.08,  -0.45,  -0.12, time =   21.35
 -11.05,  -0.50,  -0.09, time =   21.45
 -11.03,  -0.55,  -0.04, time =   21.55
 -11.00,  -0.57,   0.01, time =   21.65
 -10.97,  -0.57,   0.07, time =   21.75
 -10.93,  -0.56,   0.12, time =   21.85
 -10.90,  -0.53,   0.15, time =   21.95
 -10.87,  -0.48,   0.14, time =   22.05
 -10.85,  -0.42,   0.13, time =   22.15
 -10.84,  -0.36,   0.12, time =   22.25
 -10.83,  -0.28,   0.12, time =   22.35
 -10.82,  -0.20,   0.13, time =   22.45
 -10.82,  -0.12,   0.16, time =   22.55
 -10.82,  -0.03,   0.19, time =   22.65
 -10.83,   0.05,   0.22, time =   22.75
 -10.83,   0.15,   0.25, time =   22.85
 -10.83,   0.24,   0.26, time =   22.95
 -10.83,   0.33,   0.25, time =   23.05
 -10.83,   0.41,   0.23, time =   23.15
 -10.82,   0.48,   0.20, time =   23.25
 -10.80,   0.55,   0.15, time =   23.35
 -10.78,   0.60,   0.09, time =   23.45
 -10.75,   0.63,   0.03, time =   23.55
 -10.72,   0.65,  -0.03, time =   23.65
 -10.69,   0.64,  -0.07, time =   23.75
 -10.66,   0.63,  -0.09, time =   23.85
 -10.63,   0.59,  -0.10, time =   23.95
 -10.61,   0.55,  -0.11, time =   24.05
 -10.59,   0.49,  -0.12, time =   24.15
 -10.57,   0.43,  -0.12, time =   24.25
 -10.57,   0.36,  -0.12, time =   24.35
 -10.56,   0.28,  -0.13, time =   24.45
 -10.56,   0.20,  -0.13, time =   24.55
 -10.56,   0.12,  -0.14, time =   24.65
 -10.57,   0.03,  -0.15, time =   24.75
 -10.57,  -0.05,  -0.16, time =   24.85
 -10.57,  -0.14,  -0.16, time =   24.95
 -10.57,  -0.22,  -0.16, time =   25.05
 -10.56,  -0.30,  -0.15, time =   25.15
 -10.55,  -0.37,  -0.13, time =   25.25
 -10.53,  -0.44,  -0.11, time =   25.35
 -10.50,  -0.49,  -0.08, time =   25.45
 -10.47,  -0.52,  -0.03, time =   25.55
 -10.43,  -0.53,   0.02, time =   25.65
 -10.40,  -0.52,   0.08, time =   25.75
 -10.36,  -0.49,   0.11, time =   25.85
 -10.34,  -0.45,   0.11, time =   25.95
 -10.31,  -0.39,   0.11, time =   26.05
 -10.29,  -0.32,   0.11, time =   26.15
 -10.28,  -0.25,   0.13, time =   26.25
 -10.28,  -0.17,   0.15, time =   26.35
 -10.28,  -0.08,   0.18, time =   26.45
 -10.28,   0.01,   0.22, time =   26.55
 -10.29,   0.10,   0.26, time =   26.65
 -10.29,   0.20,   0.28, time =   26.75
 -10.30,   0.29,   0.30, time =   26.85
 -10.30,   0.38,   0.30, time =   26.95
 -10.30,   0.47,   0.28, time =   27.05
 -10.29,   0.54,   0.25, time =   27.15
 -10.28,   0.61,   0.20, time =   27.25
 -10.26,   0.66,   0.14, time =   27.35
 -10.24,   0.70,   0.06, time =   27.45
 -10.21,   0.71,  -0.02, time =   27.55
 -10.18,   0.72,  -0.08, time =   27.65
 -10.15,   0.70,  -0.11, time =   27.75
 -10.13,   0.68,  -0.12, time =   27.85
 -10.10,   0.64,  -0.12, time =   27.95
 -10.08,   0.59,  -0.13, time =   28.05
 -10.07,   0.53,  -0.13, time =   28.15
 -10.06,   0.46,  -0.13, time =   28.25
 -10.05,   0.39,  -0.13, time =   28.35
 -10.05,   0.32,  -0.13, time =   28.45
 -10.05,   0.24,  -0.14, time =   28.55
 -10.05,   0.15,  -0.15, time =   28.65
 -10.06,   0.07,  -0.16, time =   28.75
 -10.06,  -0.02,  -0.17, time =   28.85
 -10.06,  -0.11,  -0.18, time =   28.95
 -10.06,  -0.19,  -0.17, time =   29.05
 -10.05,  -0.28,  -0.16, time =   29.15
 -10.04,  -0.35,  -0.15, time =   29.25
 -10.02,  -0.41,  -0.13, time =   29.35
  -9.99,  -0.46,  -0.10, time =   29.45
  -9.95,  -0.49,  -0.06, time =   29.55
  -9.91,  -0.50,   0.00, time =   29.65
  -9.88,  -0.48,   0.05, time =   29.75
  -9.84,  -0.44,   0.08, time =   29.85
  -9.81,  -0.39,   0.09, time =   29.95
  -9.79,  -0.33,   0.10, time =   30.05
  -9.78,  -0.26,   0.11, time =   30.15
  -9.77,  -0.17,   0.14, time =   30.25
  -9.77,  -0.09,   0.17, time =   30.35
  -9.78,   0.00,   0.21, time =   30.45
  -9.78,   0.09,   0.25, time =   30.55
  -9.79,   0.19,   0.29, time =   30.65
  -9.80,   0.28,   0.32, time =   30.75
  -9.80,   0.38,   0.33, time =   30.85
  -9.80,   0.47,   0.33, time =   30.95
  -9.80,   0.55,   0.31, time =   31.05
  -9.79,   0.62,   0.26, time =   31.15
  -9.78,   0.68,   0.19, time =   31.25
  -9.76,   0.73,   0.11, time =   31.35
  -9.74,   0.75,   0.02, time =   31.45
  -9.72,   0.77,  -0.07, time =   31.55
  -9.69,   0.76,  -0.12, time =   31.65
  -9.67,   0.74,  -0.15, time =   31.75
  -9.64,   0.71,  -0.16, time =   31.85
  -9.62,   0.67,  -0.16, time =   31.95
  -9.60,   0.62,  -0.16, time =   32.05
  -9.59,   0.56,  -0.15, time =   32.15
  -9.58,   0.49,  -0.13, time =   32.25
  -9.57,   0.42,  -0.12, time =   32.35
  -9.57,   0.34,  -0.12, time =   32.45
  -9.58,   0.27,  -0.13, time =   32.55
  -9.58,   0.18,  -0.14, time =   32.65
  -9.59,   0.10,  -0.16, time =   32.75
  -9.59,   0.01,  -0.18, time =   32.85
  -9.60,  -0.08,  -0.19, time =   32.95
  -9.59,  -0.17,  -0.19, time =   33.05
  -9.59,  -0.25,  -0.18, time =   33.15
