RLsetting_list,policy_count,grade_best,grade_worst,grade_mean,grade_std
geo,11,98.5,87.5,94.8545454545454,3.84561143028352
egoLRGrad,16,99.3,70.9,88.8125,9.87136430962475
egolimited,10,29.6,0.7,17.02,9.998533225762
geoflowblind,6,14.3,3.4,10.1166666666667,3.7199014323859
georeduced,6,99.3,97.2,98.35,0.689202437604512
egoLRGradreduced,6,98.9,68.9,90.1166666666667,12.1042829885403
egoDirLRGradreduced,6,89.3,80.4,86.05,3.28922483269235
egolimitedreduced,6,65.7,9.8,42.9333333333333,20.8230321199067
transfer_exp,0,0,0,0,0
egoDirLRGradCFD,0,0,0,0,0
